label,cond1,cond2,cond3,cond4,item,sentence,comprehension_question,answerchoice0,answerchoice1,correct_response
Subjexp-ActS-PassQ-AnsL.2,Subjexp,ActS,PassQ,AnsL,2,That's the park ranger that the tourist particularly appreciates because of his gung-ho attitude.,Who is appreciated?,the park ranger,the tourist,0
Objexp-PassS-ActQ-AnsR.2,Objexp,PassS,ActQ,AnsR,2,That's the tourist that the park ranger is particularly bothered by because of his gung-ho attitude.,Who bothers someone?,the park ranger,the tourist,1
Subjexp-PassS-ActQ-AnsR.2,Subjexp,PassS,ActQ,AnsR,2,That's the tourist that the park ranger is particularly appreciated by because of his gung-ho attitude.,Who appreciates someone?,the park ranger,the tourist,1
Objexp-PassS-PassQ-AnsR.2,Objexp,PassS,PassQ,AnsR,2,That's the tourist that the park ranger is particularly bothered by because of his gung-ho attitude.,Who is bothered?,the tourist,the park ranger,1
Subjexp-PassS-PassQ-AnsR.2,Subjexp,PassS,PassQ,AnsR,2,That's the tourist that the park ranger is particularly appreciated by because of his gung-ho attitude.,Who is appreciated?,the tourist,the park ranger,1
Objexp-ActS-ActQ-AnsR.2,Objexp,ActS,ActQ,AnsR,2,That's the park ranger that the tourist particularly bothers because of his gung-ho attitude.,Who bothers someone?,the park ranger,the tourist,1
Subjexp-ActS-ActQ-AnsR.2,Subjexp,ActS,ActQ,AnsR,2,That's the park ranger that the tourist particularly appreciates because of his gung-ho attitude.,Who appreciates someone?,the park ranger,the tourist,1
Objexp-ActS-PassQ-AnsR.2,Objexp,ActS,PassQ,AnsR,2,That's the park ranger that the tourist particularly bothers because of his gung-ho attitude.,Who is bothered?,the tourist,the park ranger,1
Subjexp-ActS-PassQ-AnsR.2,Subjexp,ActS,PassQ,AnsR,2,That's the park ranger that the tourist particularly appreciates because of his gung-ho attitude.,Who is appreciated?,the tourist,the park ranger,1
Objexp-PassS-ActQ-AnsL.2,Objexp,PassS,ActQ,AnsL,2,That's the tourist that the park ranger is particularly bothered by because of his gung-ho attitude.,Who bothers someone?,the tourist,the park ranger,0
Subjexp-PassS-ActQ-AnsL.2,Subjexp,PassS,ActQ,AnsL,2,That's the tourist that the park ranger is particularly appreciated by because of his gung-ho attitude.,Who appreciates someone?,the tourist,the park ranger,0
Objexp-PassS-PassQ-AnsL.2,Objexp,PassS,PassQ,AnsL,2,That's the tourist that the park ranger is particularly bothered by because of his gung-ho attitude.,Who is bothered?,the park ranger,the tourist,0
Subjexp-PassS-PassQ-AnsL.2,Subjexp,PassS,PassQ,AnsL,2,That's the tourist that the park ranger is particularly appreciated by because of his gung-ho attitude.,Who is appreciated?,the park ranger,the tourist,0
Objexp-ActS-ActQ-AnsL.2,Objexp,ActS,ActQ,AnsL,2,That's the park ranger that the tourist particularly bothers because of his gung-ho attitude.,Who bothers someone?,the tourist,the park ranger,0
Subjexp-ActS-ActQ-AnsL.2,Subjexp,ActS,ActQ,AnsL,2,That's the park ranger that the tourist particularly appreciates because of his gung-ho attitude.,Who appreciates someone?,the tourist,the park ranger,0
Objexp-ActS-PassQ-AnsL.2,Objexp,ActS,PassQ,AnsL,2,That's the park ranger that the tourist particularly bothers because of his gung-ho attitude.,Who is bothered?,the park ranger,the tourist,0
Subjexp-ActS-PassQ-AnsL.3,Subjexp,ActS,PassQ,AnsL,3,That's the student that the professor somewhat admires in spite of his know-it-all attitude.,Who is admired?,the student,the professor,0
Objexp-ActS-PassQ-AnsL.3,Objexp,ActS,PassQ,AnsL,3,That's the student that the professor somewhat frightens in spite of his know-it-all attitude.,Who is frightened?,the student,the professor,0
Subjexp-ActS-ActQ-AnsL.3,Subjexp,ActS,ActQ,AnsL,3,That's the student that the professor somewhat admires in spite of his know-it-all attitude.,Who admires someone?,the professor,the student,0
Objexp-ActS-ActQ-AnsL.3,Objexp,ActS,ActQ,AnsL,3,That's the student that the professor somewhat frightens in spite of his know-it-all attitude.,Who frightens someone?,the professor,the student,0
Subjexp-PassS-PassQ-AnsL.3,Subjexp,PassS,PassQ,AnsL,3,That's the professor that the student is somewhat admired by in spite of his know-it-all attitude.,Who is admired?,the student,the professor,0
Objexp-PassS-PassQ-AnsL.3,Objexp,PassS,PassQ,AnsL,3,That's the professor that the student is somewhat frightened by in spite of his know-it-all attitude.,Who is frightened?,the student,the professor,0
Subjexp-PassS-ActQ-AnsL.3,Subjexp,PassS,ActQ,AnsL,3,That's the professor that the student is somewhat admired by in spite of his know-it-all attitude.,Who admires someone?,the professor,the student,0
Objexp-PassS-ActQ-AnsL.3,Objexp,PassS,ActQ,AnsL,3,That's the professor that the student is somewhat frightened by in spite of his know-it-all attitude.,Who frightens someone?,the professor,the student,0
Subjexp-ActS-PassQ-AnsR.3,Subjexp,ActS,PassQ,AnsR,3,That's the student that the professor somewhat admires in spite of his know-it-all attitude.,Who is admired?,the professor,the student,1
Objexp-ActS-PassQ-AnsR.3,Objexp,ActS,PassQ,AnsR,3,That's the student that the professor somewhat frightens in spite of his know-it-all attitude.,Who is frightened?,the professor,the student,1
Subjexp-ActS-ActQ-AnsR.3,Subjexp,ActS,ActQ,AnsR,3,That's the student that the professor somewhat admires in spite of his know-it-all attitude.,Who admires someone?,the student,the professor,1
Objexp-ActS-ActQ-AnsR.3,Objexp,ActS,ActQ,AnsR,3,That's the student that the professor somewhat frightens in spite of his know-it-all attitude.,Who frightens someone?,the student,the professor,1
Subjexp-PassS-PassQ-AnsR.3,Subjexp,PassS,PassQ,AnsR,3,That's the professor that the student is somewhat admired by in spite of his know-it-all attitude.,Who is admired?,the professor,the student,1
Objexp-PassS-PassQ-AnsR.3,Objexp,PassS,PassQ,AnsR,3,That's the professor that the student is somewhat frightened by in spite of his know-it-all attitude.,Who is frightened?,the professor,the student,1
Subjexp-PassS-ActQ-AnsR.3,Subjexp,PassS,ActQ,AnsR,3,That's the professor that the student is somewhat admired by in spite of his know-it-all attitude.,Who admires someone?,the student,the professor,1
Objexp-PassS-ActQ-AnsR.3,Objexp,PassS,ActQ,AnsR,3,That's the professor that the student is somewhat frightened by in spite of his know-it-all attitude.,Who frightens someone?,the student,the professor,1
Subjexp-ActS-PassQ-AnsL.4,Subjexp,ActS,PassQ,AnsL,4,That's the player that the coach somewhat admires in spite of his over-eagerness.,Who is admired?,the player,the coach,0
Objexp-PassS-ActQ-AnsR.4,Objexp,PassS,ActQ,AnsR,4,That's the coach that the player is somewhat frightened by in spite of his over-eagerness.,Who frightens someone?,the player,the coach,1
Subjexp-PassS-ActQ-AnsR.4,Subjexp,PassS,ActQ,AnsR,4,That's the coach that the player is somewhat admired by in spite of his over-eagerness.,Who admires someone?,the player,the coach,1
Objexp-PassS-PassQ-AnsR.4,Objexp,PassS,PassQ,AnsR,4,That's the coach that the player is somewhat frightened by in spite of his over-eagerness.,Who is frightened?,the coach,the player,1
Subjexp-PassS-PassQ-AnsR.4,Subjexp,PassS,PassQ,AnsR,4,That's the coach that the player is somewhat admired by in spite of his over-eagerness.,Who is admired?,the coach,the player,1
Objexp-ActS-ActQ-AnsR.4,Objexp,ActS,ActQ,AnsR,4,That's the player that the coach somewhat frightens in spite of his over-eagerness.,Who frightens someone?,the player,the coach,1
Subjexp-ActS-ActQ-AnsR.4,Subjexp,ActS,ActQ,AnsR,4,That's the player that the coach somewhat admires in spite of his over-eagerness.,Who admires someone?,the player,the coach,1
Objexp-ActS-PassQ-AnsR.4,Objexp,ActS,PassQ,AnsR,4,That's the player that the coach somewhat frightens in spite of his over-eagerness.,Who is frightened?,the coach,the player,1
Subjexp-ActS-PassQ-AnsR.4,Subjexp,ActS,PassQ,AnsR,4,That's the player that the coach somewhat admires in spite of his over-eagerness.,Who is admired?,the coach,the player,1
Objexp-PassS-ActQ-AnsL.4,Objexp,PassS,ActQ,AnsL,4,That's the coach that the player is somewhat frightened by in spite of his over-eagerness.,Who frightens someone?,the coach,the player,0
Subjexp-PassS-ActQ-AnsL.4,Subjexp,PassS,ActQ,AnsL,4,That's the coach that the player is somewhat admired by in spite of his over-eagerness.,Who admires someone?,the coach,the player,0
Objexp-PassS-PassQ-AnsL.4,Objexp,PassS,PassQ,AnsL,4,That's the coach that the player is somewhat frightened by in spite of his over-eagerness.,Who is frightened?,the player,the coach,0
Subjexp-PassS-PassQ-AnsL.4,Subjexp,PassS,PassQ,AnsL,4,That's the coach that the player is somewhat admired by in spite of his over-eagerness.,Who is admired?,the player,the coach,0
Objexp-ActS-ActQ-AnsL.4,Objexp,ActS,ActQ,AnsL,4,That's the player that the coach somewhat frightens in spite of his over-eagerness.,Who frightens someone?,the coach,the player,0
Subjexp-ActS-ActQ-AnsL.4,Subjexp,ActS,ActQ,AnsL,4,That's the player that the coach somewhat admires in spite of his over-eagerness.,Who admires someone?,the coach,the player,0
Objexp-ActS-PassQ-AnsL.4,Objexp,ActS,PassQ,AnsL,4,That's the player that the coach somewhat frightens in spite of his over-eagerness.,Who is frightened?,the player,the coach,0
Subjexp-ActS-PassQ-AnsL.5,Subjexp,ActS,PassQ,AnsL,5,That's the musician that the conductor greatly adores due to his vigorous practice regimen.,Who is adored?,the musician,the conductor,0
Objexp-ActS-PassQ-AnsL.5,Objexp,ActS,PassQ,AnsL,5,That's the musician that the conductor greatly disappoints due to his vigorous practice regimen.,Who is disappointed?,the musician,the conductor,0
Subjexp-ActS-ActQ-AnsL.5,Subjexp,ActS,ActQ,AnsL,5,That's the musician that the conductor greatly adores due to his vigorous practice regimen.,Who adores someone?,the conductor,the musician,0
Objexp-ActS-ActQ-AnsL.5,Objexp,ActS,ActQ,AnsL,5,That's the musician that the conductor greatly disappoints due to his vigorous practice regimen.,Who disappoints someone?,the conductor,the musician,0
Subjexp-PassS-PassQ-AnsL.5,Subjexp,PassS,PassQ,AnsL,5,That's the conductor that the musician is greatly adored by due to his vigorous practice regimen.,Who is adored?,the musician,the conductor,0
Objexp-PassS-PassQ-AnsL.5,Objexp,PassS,PassQ,AnsL,5,That's the conductor that the musician is greatly disappointed by due to his vigorous practice regimen.,Who is disappointed?,the musician,the conductor,0
Subjexp-PassS-ActQ-AnsL.5,Subjexp,PassS,ActQ,AnsL,5,That's the conductor that the musician is greatly adored by due to his vigorous practice regimen.,Who adores someone?,the conductor,the musician,0
Objexp-PassS-ActQ-AnsL.5,Objexp,PassS,ActQ,AnsL,5,That's the conductor that the musician is greatly disappointed by due to his vigorous practice regimen.,Who disappoints someone?,the conductor,the musician,0
Subjexp-ActS-PassQ-AnsR.5,Subjexp,ActS,PassQ,AnsR,5,That's the musician that the conductor greatly adores due to his vigorous practice regimen.,Who is adored?,the conductor,the musician,1
Objexp-ActS-PassQ-AnsR.5,Objexp,ActS,PassQ,AnsR,5,That's the musician that the conductor greatly disappoints due to his vigorous practice regimen.,Who is disappointed?,the conductor,the musician,1
Subjexp-ActS-ActQ-AnsR.5,Subjexp,ActS,ActQ,AnsR,5,That's the musician that the conductor greatly adores due to his vigorous practice regimen.,Who adores someone?,the musician,the conductor,1
Objexp-ActS-ActQ-AnsR.5,Objexp,ActS,ActQ,AnsR,5,That's the musician that the conductor greatly disappoints due to his vigorous practice regimen.,Who disappoints someone?,the musician,the conductor,1
Subjexp-PassS-PassQ-AnsR.5,Subjexp,PassS,PassQ,AnsR,5,That's the conductor that the musician is greatly adored by due to his vigorous practice regimen.,Who is adored?,the conductor,the musician,1
Objexp-PassS-PassQ-AnsR.5,Objexp,PassS,PassQ,AnsR,5,That's the conductor that the musician is greatly disappointed by due to his vigorous practice regimen.,Who is disappointed?,the conductor,the musician,1
Subjexp-PassS-ActQ-AnsR.5,Subjexp,PassS,ActQ,AnsR,5,That's the conductor that the musician is greatly adored by due to his vigorous practice regimen.,Who adores someone?,the musician,the conductor,1
Objexp-PassS-ActQ-AnsR.5,Objexp,PassS,ActQ,AnsR,5,That's the conductor that the musician is greatly disappointed by due to his vigorous practice regimen.,Who disappoints someone?,the musician,the conductor,1
Subjexp-ActS-PassQ-AnsL.6,Subjexp,ActS,PassQ,AnsL,6,That's the carpenter that the contractor greatly adores due to his workmanship.,Who is adored?,the carpenter,the contractor,0
Objexp-PassS-ActQ-AnsR.6,Objexp,PassS,ActQ,AnsR,6,That's the contractor that the carpenter is greatly disappointed by due to his workmanship.,Who disappoints someone?,the carpenter,the contractor,1
Subjexp-PassS-ActQ-AnsR.6,Subjexp,PassS,ActQ,AnsR,6,That's the contractor that the carpenter is greatly adored by due to his workmanship.,Who adores someone?,the carpenter,the contractor,1
Objexp-PassS-PassQ-AnsR.6,Objexp,PassS,PassQ,AnsR,6,That's the contractor that the carpenter is greatly disappointed by due to his workmanship.,Who is disappointed?,the contractor,the carpenter,1
Subjexp-PassS-PassQ-AnsR.6,Subjexp,PassS,PassQ,AnsR,6,That's the contractor that the carpenter is greatly adored by due to his workmanship.,Who is adored?,the contractor,the carpenter,1
Objexp-ActS-ActQ-AnsR.6,Objexp,ActS,ActQ,AnsR,6,That's the carpenter that the contractor greatly disappoints due to his workmanship.,Who disappoints someone?,the carpenter,the contractor,1
Subjexp-ActS-ActQ-AnsR.6,Subjexp,ActS,ActQ,AnsR,6,That's the carpenter that the contractor greatly adores due to his workmanship.,Who adores someone?,the carpenter,the contractor,1
Objexp-ActS-PassQ-AnsR.6,Objexp,ActS,PassQ,AnsR,6,That's the carpenter that the contractor greatly disappoints due to his workmanship.,Who is disappointed?,the contractor,the carpenter,1
Subjexp-ActS-PassQ-AnsR.6,Subjexp,ActS,PassQ,AnsR,6,That's the carpenter that the contractor greatly adores due to his workmanship.,Who is adored?,the contractor,the carpenter,1
Objexp-PassS-ActQ-AnsL.6,Objexp,PassS,ActQ,AnsL,6,That's the contractor that the carpenter is greatly disappointed by due to his workmanship.,Who disappoints someone?,the contractor,the carpenter,0
Subjexp-PassS-ActQ-AnsL.6,Subjexp,PassS,ActQ,AnsL,6,That's the contractor that the carpenter is greatly adored by due to his workmanship.,Who adores someone?,the contractor,the carpenter,0
Objexp-PassS-PassQ-AnsL.6,Objexp,PassS,PassQ,AnsL,6,That's the contractor that the carpenter is greatly disappointed by due to his workmanship.,Who is disappointed?,the carpenter,the contractor,0
Subjexp-PassS-PassQ-AnsL.6,Subjexp,PassS,PassQ,AnsL,6,That's the contractor that the carpenter is greatly adored by due to his workmanship.,Who is adored?,the carpenter,the contractor,0
Objexp-ActS-ActQ-AnsL.6,Objexp,ActS,ActQ,AnsL,6,That's the carpenter that the contractor greatly disappoints due to his workmanship.,Who disappoints someone?,the contractor,the carpenter,0
Subjexp-ActS-ActQ-AnsL.6,Subjexp,ActS,ActQ,AnsL,6,That's the carpenter that the contractor greatly adores due to his workmanship.,Who adores someone?,the contractor,the carpenter,0
Objexp-ActS-PassQ-AnsL.6,Objexp,ActS,PassQ,AnsL,6,That's the carpenter that the contractor greatly disappoints due to his workmanship.,Who is disappointed?,the carpenter,the contractor,0
Subjexp-ActS-PassQ-AnsL.7,Subjexp,ActS,PassQ,AnsL,7,That's the greengrocer that the tailor really fancies on account of their long conversations.,Who is fancied?,the greengrocer,the tailor,0
Objexp-ActS-PassQ-AnsL.7,Objexp,ActS,PassQ,AnsL,7,That's the greengrocer that the tailor really bores on account of their long conversations.,Who is bored?,the greengrocer,the tailor,0
Subjexp-ActS-ActQ-AnsL.7,Subjexp,ActS,ActQ,AnsL,7,That's the greengrocer that the tailor really fancies on account of their long conversations.,Who fancies someone?,the tailor,the greengrocer,0
Objexp-ActS-ActQ-AnsL.7,Objexp,ActS,ActQ,AnsL,7,That's the greengrocer that the tailor really bores on account of their long conversations.,Who bores someone?,the tailor,the greengrocer,0
Subjexp-PassS-PassQ-AnsL.7,Subjexp,PassS,PassQ,AnsL,7,That's the tailor that the greengrocer is really fancied by on account of their long conversations.,Who is fancied?,the greengrocer,the tailor,0
Objexp-PassS-PassQ-AnsL.7,Objexp,PassS,PassQ,AnsL,7,That's the tailor that the greengrocer is really bored by on account of their long conversations.,Who is bored?,the greengrocer,the tailor,0
Subjexp-PassS-ActQ-AnsL.7,Subjexp,PassS,ActQ,AnsL,7,That's the tailor that the greengrocer is really fancied by on account of their long conversations.,Who fancies someone?,the tailor,the greengrocer,0
Objexp-PassS-ActQ-AnsL.7,Objexp,PassS,ActQ,AnsL,7,That's the tailor that the greengrocer is really bored by on account of their long conversations.,Who bores someone?,the tailor,the greengrocer,0
Subjexp-ActS-PassQ-AnsR.7,Subjexp,ActS,PassQ,AnsR,7,That's the greengrocer that the tailor really fancies on account of their long conversations.,Who is fancied?,the tailor,the greengrocer,1
Objexp-ActS-PassQ-AnsR.7,Objexp,ActS,PassQ,AnsR,7,That's the greengrocer that the tailor really bores on account of their long conversations.,Who is bored?,the tailor,the greengrocer,1
Subjexp-ActS-ActQ-AnsR.7,Subjexp,ActS,ActQ,AnsR,7,That's the greengrocer that the tailor really fancies on account of their long conversations.,Who fancies someone?,the greengrocer,the tailor,1
Objexp-ActS-ActQ-AnsR.7,Objexp,ActS,ActQ,AnsR,7,That's the greengrocer that the tailor really bores on account of their long conversations.,Who bores someone?,the greengrocer,the tailor,1
Subjexp-PassS-PassQ-AnsR.7,Subjexp,PassS,PassQ,AnsR,7,That's the tailor that the greengrocer is really fancied by on account of their long conversations.,Who is fancied?,the tailor,the greengrocer,1
Objexp-PassS-PassQ-AnsR.7,Objexp,PassS,PassQ,AnsR,7,That's the tailor that the greengrocer is really bored by on account of their long conversations.,Who is bored?,the tailor,the greengrocer,1
Subjexp-PassS-ActQ-AnsR.7,Subjexp,PassS,ActQ,AnsR,7,That's the tailor that the greengrocer is really fancied by on account of their long conversations.,Who fancies someone?,the greengrocer,the tailor,1
Objexp-PassS-ActQ-AnsR.7,Objexp,PassS,ActQ,AnsR,7,That's the tailor that the greengrocer is really bored by on account of their long conversations.,Who bores someone?,the greengrocer,the tailor,1
Subjexp-ActS-PassQ-AnsL.8,Subjexp,ActS,PassQ,AnsL,8,That's the bellboy that the guest really fancies on account of his placid demeanor.,Who is fancied?,the bellboy,the guest,0
Objexp-PassS-ActQ-AnsR.8,Objexp,PassS,ActQ,AnsR,8,That's the guest that the bellboy is really bored by on account of his placid demeanor.,Who bores someone?,the bellboy,the guest,1
Subjexp-PassS-ActQ-AnsR.8,Subjexp,PassS,ActQ,AnsR,8,That's the guest that the bellboy is really fancied by on account of his placid demeanor.,Who fancies someone?,the bellboy,the guest,1
Objexp-PassS-PassQ-AnsR.8,Objexp,PassS,PassQ,AnsR,8,That's the guest that the bellboy is really bored by on account of his placid demeanor.,Who is bored?,the guest,the bellboy,1
Subjexp-PassS-PassQ-AnsR.8,Subjexp,PassS,PassQ,AnsR,8,That's the guest that the bellboy is really fancied by on account of his placid demeanor.,Who is fancied?,the guest,the bellboy,1
Objexp-ActS-ActQ-AnsR.8,Objexp,ActS,ActQ,AnsR,8,That's the bellboy that the guest really bores on account of his placid demeanor.,Who bores someone?,the bellboy,the guest,1
Subjexp-ActS-ActQ-AnsR.8,Subjexp,ActS,ActQ,AnsR,8,That's the bellboy that the guest really fancies on account of his placid demeanor.,Who fancies someone?,the bellboy,the guest,1
Objexp-ActS-PassQ-AnsR.8,Objexp,ActS,PassQ,AnsR,8,That's the bellboy that the guest really bores on account of his placid demeanor.,Who is bored?,the guest,the bellboy,1
Subjexp-ActS-PassQ-AnsR.8,Subjexp,ActS,PassQ,AnsR,8,That's the bellboy that the guest really fancies on account of his placid demeanor.,Who is fancied?,the guest,the bellboy,1
Objexp-PassS-ActQ-AnsL.8,Objexp,PassS,ActQ,AnsL,8,That's the guest that the bellboy is really bored by on account of his placid demeanor.,Who bores someone?,the guest,the bellboy,0
Subjexp-PassS-ActQ-AnsL.8,Subjexp,PassS,ActQ,AnsL,8,That's the guest that the bellboy is really fancied by on account of his placid demeanor.,Who fancies someone?,the guest,the bellboy,0
Objexp-PassS-PassQ-AnsL.8,Objexp,PassS,PassQ,AnsL,8,That's the guest that the bellboy is really bored by on account of his placid demeanor.,Who is bored?,the bellboy,the guest,0
Subjexp-PassS-PassQ-AnsL.8,Subjexp,PassS,PassQ,AnsL,8,That's the guest that the bellboy is really fancied by on account of his placid demeanor.,Who is fancied?,the bellboy,the guest,0
Objexp-ActS-ActQ-AnsL.8,Objexp,ActS,ActQ,AnsL,8,That's the bellboy that the guest really bores on account of his placid demeanor.,Who bores someone?,the guest,the bellboy,0
Subjexp-ActS-ActQ-AnsL.8,Subjexp,ActS,ActQ,AnsL,8,That's the bellboy that the guest really fancies on account of his placid demeanor.,Who fancies someone?,the guest,the bellboy,0
Objexp-ActS-PassQ-AnsL.8,Objexp,ActS,PassQ,AnsL,8,That's the bellboy that the guest really bores on account of his placid demeanor.,Who is bored?,the bellboy,the guest,0
Subjexp-ActS-PassQ-AnsL.9,Subjexp,ActS,PassQ,AnsL,9,That's the student that the teacher somewhat tolerates despite his uncaring appearance.,Who is tolerated?,the student,the teacher,0
Objexp-ActS-PassQ-AnsL.9,Objexp,ActS,PassQ,AnsL,9,That's the student that the teacher somewhat terrifies despite his uncaring appearance.,Who is terrified?,the student,the teacher,0
Subjexp-ActS-ActQ-AnsL.9,Subjexp,ActS,ActQ,AnsL,9,That's the student that the teacher somewhat tolerates despite his uncaring appearance.,Who tolerates someone?,the teacher,the student,0
Objexp-ActS-ActQ-AnsL.9,Objexp,ActS,ActQ,AnsL,9,That's the student that the teacher somewhat terrifies despite his uncaring appearance.,Who terrifies someone?,the teacher,the student,0
Subjexp-PassS-PassQ-AnsL.9,Subjexp,PassS,PassQ,AnsL,9,That's the teacher that the student is somewhat tolerated by despite his uncaring appearance.,Who is tolerated?,the student,the teacher,0
Objexp-PassS-PassQ-AnsL.9,Objexp,PassS,PassQ,AnsL,9,That's the teacher that the student is somewhat terrified by despite his uncaring appearance.,Who is terrified?,the student,the teacher,0
Subjexp-PassS-ActQ-AnsL.9,Subjexp,PassS,ActQ,AnsL,9,That's the teacher that the student is somewhat tolerated by despite his uncaring appearance.,Who tolerates someone?,the teacher,the student,0
Objexp-PassS-ActQ-AnsL.9,Objexp,PassS,ActQ,AnsL,9,That's the teacher that the student is somewhat terrified by despite his uncaring appearance.,Who terrifies someone?,the teacher,the student,0
Subjexp-ActS-PassQ-AnsR.9,Subjexp,ActS,PassQ,AnsR,9,That's the student that the teacher somewhat tolerates despite his uncaring appearance.,Who is tolerated?,the teacher,the student,1
Objexp-ActS-PassQ-AnsR.9,Objexp,ActS,PassQ,AnsR,9,That's the student that the teacher somewhat terrifies despite his uncaring appearance.,Who is terrified?,the teacher,the student,1
Subjexp-ActS-ActQ-AnsR.9,Subjexp,ActS,ActQ,AnsR,9,That's the student that the teacher somewhat tolerates despite his uncaring appearance.,Who tolerates someone?,the student,the teacher,1
Objexp-ActS-ActQ-AnsR.9,Objexp,ActS,ActQ,AnsR,9,That's the student that the teacher somewhat terrifies despite his uncaring appearance.,Who terrifies someone?,the student,the teacher,1
Subjexp-PassS-PassQ-AnsR.9,Subjexp,PassS,PassQ,AnsR,9,That's the teacher that the student is somewhat tolerated by despite his uncaring appearance.,Who is tolerated?,the teacher,the student,1
Objexp-PassS-PassQ-AnsR.9,Objexp,PassS,PassQ,AnsR,9,That's the teacher that the student is somewhat terrified by despite his uncaring appearance.,Who is terrified?,the teacher,the student,1
Subjexp-PassS-ActQ-AnsR.9,Subjexp,PassS,ActQ,AnsR,9,That's the teacher that the student is somewhat tolerated by despite his uncaring appearance.,Who tolerates someone?,the student,the teacher,1
Objexp-PassS-ActQ-AnsR.9,Objexp,PassS,ActQ,AnsR,9,That's the teacher that the student is somewhat terrified by despite his uncaring appearance.,Who terrifies someone?,the student,the teacher,1
Subjexp-ActS-PassQ-AnsL.10,Subjexp,ActS,PassQ,AnsL,10,That's the concierge that the executive somewhat tolerates despite his meek disposition.,Who is tolerated?,the concierge,the executive,0
Objexp-PassS-ActQ-AnsR.10,Objexp,PassS,ActQ,AnsR,10,That's the executive that the concierge is somewhat terrified by despite his meek disposition.,Who terrifies someone?,the concierge,the executive,1
Subjexp-PassS-ActQ-AnsR.10,Subjexp,PassS,ActQ,AnsR,10,That's the executive that the concierge is somewhat tolerated by despite his meek disposition.,Who tolerates someone?,the concierge,the executive,1
Objexp-PassS-PassQ-AnsR.10,Objexp,PassS,PassQ,AnsR,10,That's the executive that the concierge is somewhat terrified by despite his meek disposition.,Who is terrified?,the executive,the concierge,1
Subjexp-PassS-PassQ-AnsR.10,Subjexp,PassS,PassQ,AnsR,10,That's the executive that the concierge is somewhat tolerated by despite his meek disposition.,Who is tolerated?,the executive,the concierge,1
Objexp-ActS-ActQ-AnsR.10,Objexp,ActS,ActQ,AnsR,10,That's the concierge that the executive somewhat terrifies despite his meek disposition.,Who terrifies someone?,the concierge,the executive,1
